state,sea,region,quota_exposure,income_us_born_b,income_us_born_a,income_change,european_immigrant_share_b,european_immigrant_share_a,immigration_change,immigrant_mining_share_b,immigrant_mining_share_a,immigration_mining_change,quota_exposure_state,num_mines_b,num_mines_a,num_mines_change,sea_type
new jersey,266,middle atlantic division,0.0233268712909194,7.08168029785156,7.11138677597046,0.0297064781188965,0.0688915731328294,0.0166832583845388,-0.0522083147482906,0.364500792393027,0.0355555555555556,-0.328945236837471,0.0638289407543198,151,71,-80,manufacture
new jersey,267,middle atlantic division,0.0811548690398922,7.22577524185181,7.2773494720459,0.0515742301940918,0.130748070279032,0.06015549690902,-0.0705925733700124,0.432712486883526,0.0762217359591539,-0.356490750924372,0.0638289407543198,151,71,-80,manufacture
new jersey,268,middle atlantic division,0.0536218897486833,7.1934232711792,7.21196508407593,0.0185418128967285,0.112703126413217,0.0315129979427717,-0.0811901284704455,0.416370106761566,0.0266666666666667,-0.389703440094899,0.0638289407543198,151,71,-80,manufacture
new jersey,269,middle atlantic division,0.0338052226834407,7.06259965896606,7.14639186859131,0.0837922096252441,0.0351121937609323,0.0171231361444184,-0.0179890576165139,0.121212121212121,0.0104712041884817,-0.11074091702364,0.0638289407543198,151,71,-80,manufacture
new jersey,270,middle atlantic division,0.0169726159547281,7.12908124923706,7.18422985076904,0.0551486015319824,0.0502541785411692,0.0162155563056108,-0.0340386222355584,0.0309734513274336,0.0152284263959391,-0.0157450249314945,0.0638289407543198,151,71,-80,manufacture
new jersey,271,middle atlantic division,0.0532793518686958,7.156907081604,7.2132363319397,0.0563292503356934,0.0569693838005426,0.0206192805485992,-0.0363501032519433,0.114285714285714,0.04,-0.0742857142857143,0.0638289407543198,151,71,-80,manufacture
new mexico,273,mountain division,0.0193653064579848,6.79480028152466,6.88038682937622,0.0855865478515625,0.0173867458826613,0.00246678495693946,-0.0149199609257219,0.276200873362445,0.00490196078431373,-0.271298912578132,0.0103194683679249,285,89,-196,mining
new mexico,274,mountain division,0.00535311017301865,6.74976873397827,6.81510543823242,0.0653367042541504,0.00547278808148373,0.00249680287436819,-0.00297598520711555,0.0471777590564448,0.00709219858156028,-0.0400855604748845,0.0103194683679249,285,89,-196,mining
new mexico,275,mountain division,0.00645108087337576,6.74240732192993,6.85762691497803,0.115219593048096,0.0433650581426033,0.00430963940865201,-0.0390554187339513,0.392654132050722,0.0334807327858497,-0.359173399264872,0.0103194683679249,285,89,-196,mining
new mexico,276,mountain division,0.00948753069678787,6.84873914718628,6.91840982437134,0.0696706771850586,0.010261780104712,0.00223165087061935,-0.00803012923409269,0.0204835460040296,0.000524383848977452,-0.0199591621550521,0.0103194683679249,285,89,-196,mining
new york,277,middle atlantic division,0.0340636375458416,7.08891773223877,7.09836864471436,0.00945091247558594,0.0424842045906009,0.0128794125731339,-0.0296047920174671,0.255896226415094,0.0232558139534884,-0.232640412461606,0.0806300375043065,752,206,-546,manufacture
new york,278,middle atlantic division,0.0583603015393237,7.20539283752441,7.23143815994263,0.0260453224182129,0.0978972692620134,0.0378804075550209,-0.0600168617069925,0.367071524966262,0.05720823798627,-0.309863286979992,0.0806300375043065,752,206,-546,manufacture
new york,279,middle atlantic division,0.0273468419682104,7.17998743057251,7.24151086807251,0.0615234375,0.08309799977959,0.0385118662277379,-0.0445861335518521,0.14527027027027,0.01875,-0.12652027027027,0.0806300375043065,752,206,-546,manufacture
new york,280,middle atlantic division,0.0134817272837608,7.08588409423828,7.11614227294922,0.0302581787109375,0.0424437872460581,0.0126307392306329,-0.0298130480154252,0.387242591662481,0.055472263868066,-0.331770327794415,0.0806300375043065,752,206,-546,manufacture
new york,281,middle atlantic division,0.0210024587440785,7.11481618881226,7.14819240570068,0.0333762168884277,0.0475332815057678,0.0247120552853852,-0.0228212262203826,0.00583373845405931,0.00184586986617443,-0.00398786858788487,0.0806300375043065,752,206,-546,manufacture
new york,282,middle atlantic division,0.0111567703665969,7.12572479248047,7.15673351287842,0.0310087203979492,0.0248885672009638,0.00975215381117203,-0.0151364133897918,0.293333333333333,0.016,-0.277333333333333,0.0806300375043065,752,206,-546,manufacture
new york,283,middle atlantic division,0.00692926703322883,7.08783960342407,7.12449645996094,0.0366568565368652,0.0385992703533026,0.0102502392205759,-0.0283490311327267,0.159722222222222,0.0309278350515464,-0.128794387170676,0.0806300375043065,752,206,-546,manufacture
new york,284,middle atlantic division,0.0302205286225217,7.1791205406189,7.23741912841797,0.0582985877990723,0.0730086832312145,0.0263950909506808,-0.0466135922805338,0.530474040632054,0.063973063973064,-0.46650097665899,0.0806300375043065,752,206,-546,manufacture
new york,285,middle atlantic division,0.0309501218962396,7.09926319122315,7.12530183792114,0.026038646697998,0.0769420655868447,0.0180121878876126,-0.0589298776992321,0.196428571428571,0.0289855072463768,-0.167443064182195,0.0806300375043065,752,206,-546,manufacture
new york,286,middle atlantic division,0.0284960352787493,7.1282753944397,7.17776918411255,0.0494937896728516,0.0856527608150672,0.0181491526199549,-0.0675036081951123,0.27355623100304,0.0277777777777778,-0.245778453225262,0.0806300375043065,752,206,-546,manufacture
new york,287,middle atlantic division,0.00699783641903196,7.07537221908569,7.0941743850708,0.0188021659851074,0.0195021312209268,0.00821056682845475,-0.0112915643924721,0.106796116504854,0.0102564102564103,-0.0965397062484441,0.0806300375043065,752,206,-546,agriculture
new york,288,middle atlantic division,0.0140408426732392,7.1412992477417,7.17400550842285,0.0327062606811523,0.0551638324346744,0.027268057125244,-0.0278957753094304,0.0111111111111111,0.0869565217391304,0.0758454106280193,0.0806300375043065,752,206,-546,manufacture
new york,289,middle atlantic division,0.00734272226941357,7.06268835067749,7.08708095550537,0.0243926048278809,0.0288756872906528,0.00728902027807289,-0.02158666701258,0.440688575899843,0.0279627163781625,-0.412725859521681,0.0806300375043065,752,206,-546,manufacture
new york,290,middle atlantic division,0.0117467750151263,7.07878541946411,7.10478496551514,0.0259995460510254,0.0419481438589719,0.0103109791305782,-0.0316371647283936,0.31809401159047,0.0476190476190476,-0.270474963971422,0.0806300375043065,752,206,-546,manufacture
new york,291,middle atlantic division,0.0255997657368425,7.15834379196167,7.2230749130249,0.0647311210632324,0.0601963750149438,0.0273844192528341,-0.0328119557621098,0.326007326007326,0.0303030303030303,-0.295704295704296,0.0806300375043065,752,206,-546,manufacture
new york,292,middle atlantic division,0.024096716011627,7.08603239059448,7.11429977416992,0.0282673835754395,0.0643915856202161,0.0204848637773159,-0.0439067218429002,0.242960579243765,0.0459363957597173,-0.197024183484048,0.0806300375043065,752,206,-546,manufacture
new york,293,middle atlantic division,0.131621240449022,7.26012849807739,7.2989559173584,0.0388274192810059,0.162756779447637,0.0904190763393445,-0.0723377031082924,0.270898689795165,0.107839070924927,-0.163059618870238,0.0806300375043065,752,206,-546,manufacture
north carolina,294,south atlantic division,5.73124161746819e-05,6.4595742225647,6.53134441375732,0.071770191192627,0.000631354222262721,0.000254801414147849,-0.000376552808114873,0.00259403372243839,0.00121951219512195,-0.00137452152731644,0.000455460919965844,130,123,-7,agriculture
north carolina,295,south atlantic division,0.00253199242251867,6.5614447593689,6.74349212646484,0.182047367095947,0.00316380776101414,0.00205870633550272,-0.00110510142551142,0.00862068965517241,0.015625,0.00700431034482759,0.000455460919965844,130,123,-7,manufacture
north carolina,296,south atlantic division,0.000785118388250794,6.4813871383667,6.56482982635498,0.0834426879882813,0.00112558624283481,0.000489977086365667,-0.000635609156469143,0.0125130344108446,0.00246913580246914,-0.0100438986083755,0.000455460919965844,130,123,-7,agriculture
north carolina,298,south atlantic division,0.00094086463604981,6.60518836975098,6.80394411087036,0.198755741119385,0.00212352147336667,0.000840092699884125,-0.00128342877348255,0.0208333333333333,0.032258064516129,0.0114247311827957,0.000455460919965844,130,123,-7,manufacture
north carolina,299,south atlantic division,0.000496330303576542,6.60511589050293,6.78181076049805,0.176694869995117,0.00172705016036894,0.0012339107713152,-0.00049313938905374,0.0238095238095238,0.0181818181818182,-0.00562770562770563,0.000455460919965844,130,123,-7,manufacture
north carolina,300,south atlantic division,7.97839215920249e-05,6.45967435836792,6.54341316223145,0.0837388038635254,0.000992937868865262,0.000101020305081321,-0.00089191756378394,0.0118577075098814,0.00613496932515337,-0.00572273818472805,0.000455460919965844,130,123,-7,agriculture
north carolina,301,south atlantic division,0.000240019990087603,6.50787687301636,6.62978792190552,0.12191104888916,0.00201418976133907,0.00045408994112489,-0.00156009982021418,0.0240480961923848,0.00757575757575758,-0.0164723386166272,0.000455460919965844,130,123,-7,agriculture
north carolina,302,south atlantic division,8.29420878289966e-05,6.4737982749939,6.57567119598389,0.10187292098999,0.00072610486629896,0.000362825895402478,-0.000363278970896482,0.00636942675159236,0.0147058823529412,0.00833645560134882,0.000455460919965844,130,123,-7,agriculture
north carolina,303,south atlantic division,0.000954315510171,6.5901517868042,6.78828048706055,0.198128700256348,0.00329450523591011,0.00221909904578741,-0.0010754061901227,0.0101010101010101,0.0212765957446809,0.0111755856436707,0.000455460919965844,130,123,-7,manufacture
north carolina,304,south atlantic division,9.27968972064264e-05,6.4559497833252,6.53877687454224,0.082827091217041,0.000659618847271496,0.000172031500879272,-0.000487587346392223,0.209677419354839,0.0303030303030303,-0.179374389051808,0.000455460919965844,130,123,-7,agriculture
north carolina,305,south atlantic division,0.000630925174846198,6.54955625534058,6.64386177062988,0.0943055152893066,0.00136920532745346,0.00103032592643473,-0.000338879401018727,0.0222222222222222,0.0285714285714286,0.00634920634920635,0.000455460919965844,130,123,-7,manufacture
north carolina,306,south atlantic division,0.000121275570563739,6.46075773239136,6.5406494140625,0.0798916816711426,0.000567519241234549,0.000188068908448055,-0.000379450332786493,0.05,0.125,0.075,0.000455460919965844,130,123,-7,agriculture
north carolina,307,south atlantic division,0.000350692284655452,6.4707612991333,6.57552194595337,0.104760646820068,0.00108349815117379,0.000333180147058824,-0.000750318004114966,0.0163934426229508,0.0476190476190476,0.0312256049960968,0.000455460919965844,130,123,-7,agriculture
north carolina,308,south atlantic division,0.000412084586059791,6.45392227172852,6.5909218788147,0.136999607086182,0.00158390259441475,0.00054188793757451,-0.00104201465684024,0.024390243902439,0.04,0.015609756097561,0.000455460919965844,130,123,-7,agriculture
north carolina,309,south atlantic division,0.00049000648641595,6.49748182296753,6.54051542282105,0.0430335998535156,0.00107706310679612,0.00035812343320998,-0.000718939673586137,0.2,0.2,0,0.000455460919965844,130,123,-7,agriculture
north carolina,310,south atlantic division,0.000741070031381241,6.47721290588379,6.56186819076538,0.0846552848815918,0.00320942207103832,0.000781850104246681,-0.00242757196679163,0.0909090909090909,0.0232558139534884,-0.0676532769556025,0.000455460919965844,130,123,-7,agriculture
north dakota,311,west north central div,0.25628246298038,,,,,,,0.199556541019956,0.0225035161744023,-0.177053024845553,0.080568632096174,,,,agriculture
north dakota,314,west north central div,0.0504724599450128,6.61622190475464,6.63549995422363,0.0192780494689941,0.0830812730142031,0.00797326138605887,-0.0751080116281442,0.269303201506591,0.0233918128654971,-0.245911388641094,0.080568632096174,59,115,56,agriculture
north dakota,315,west north central div,0.0660794009891106,6.66242218017578,6.63464117050171,-0.0277810096740723,0.0785135711240586,0.00875723884662725,-0.0697563322774313,0.105263157894737,0.0384615384615385,-0.0668016194331984,0.080568632096174,59,115,56,agriculture
north dakota,317,west north central div,0.0406665982218328,6.65388011932373,6.65366411209106,-0.000216007232666016,0.0678280635394191,0.00977886171235607,-0.0580492018270631,0.0384615384615385,0.0526315789473684,0.01417004048583,0.080568632096174,59,115,56,agriculture
ohio,318,east north central div,0.00648175873880064,6.86472177505493,6.93240642547607,0.0676846504211426,0.0147238507528706,0.00520198973261545,-0.00952186102025517,0.099160777385159,0.016,-0.083160777385159,0.0221563659370077,964,744,-220,agriculture
ohio,319,east north central div,0.0433472715903918,7.10964155197144,7.17687082290649,0.0672292709350586,0.055365624211275,0.0177638285746394,-0.0376017956366357,0.100931677018634,0.0265486725663717,-0.0743830044522619,0.0221563659370077,964,744,-220,manufacture
ohio,320,east north central div,0.00323975135916044,6.89502286911011,6.96853876113892,0.0735158920288086,0.00707174422935604,0.00240093426082415,-0.00467080996853189,0.0147058823529412,0.00203389830508475,-0.0126719840478564,0.0221563659370077,964,744,-220,mining
ohio,321,east north central div,0.00185720383933585,6.89563131332398,6.95690155029297,0.0612702369689941,0.00543220194115748,0.00213608091977131,-0.00329612102138616,0.153481012658228,0.00523560209424084,-0.148245410563987,0.0221563659370077,964,744,-220,manufacture
